Convention,Policy Driver,Ocean Account Component
CBD-GBF,Climate-Biodiversity,Environmental Assets
CBD-GBF,Climate-Biodiversity,Environmental Assets
CBD-GBF,Integrated Spatial Planning and Management,Environmental Assets
CBD-GBF,Integrated Spatial Planning and Management,Environmental Assets
CBD-GBF,Pollution Reduction and Circular Economy,Flows to Environment
CBD-GBF,Pollution Reduction and Circular Economy,Ocean Economy
CBD-GBF,Climate-Biodiversity,Environmental Assets
CBD-GBF,Climate-Biodiversity,Flows to Economy
CBD-GBF,Climate-Biodiversity,Flows to Environment
CBD-GBF,Financial and Economic Instruments,Environmental Assets
CBD-GBF,Financial and Economic Instruments,Flows to Economy
CBD-GBF,Financial and Economic Instruments,Flows to Economy
CBD-GBF,Financial and Economic Instruments,Governance
CBD-GBF,Governance and Legal Frameworks,Governance
CBD-GBF,Governance and Legal Frameworks,Environmental Assets
CBD-GBF,Governance and Legal Frameworks,Environmental Assets
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Environmental Assets
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Environmental Assets
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Flows to Economy
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Ocean Economy
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Flows to Environment
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Governance
CBD-GBF,Integrated Monitoring Reporting and Data Systems,Social
SDGs,Integrated Spatial Planning and Management,Environmental Assets
SDGs,Integrated Spatial Planning and Management,Environmental Assets
SDGs,Integrated Spatial Planning and Management,Environmental Assets
SDGs,Governance and Legal Frameworks,Flows to Economy
SDGs,Pollution Reduction and Circular Economy,Flows to Environment
SDGs,Pollution Reduction and Circular Economy,Ocean Economy
SDGs,Climate-Biodiversity,Environmental Assets
SDGs,Climate-Biodiversity,Flows to Economy
SDGs,Climate-Biodiversity,Flows to Environment
SDGs,Financial and Economic Instruments,Environmental Assets
SDGs,Financial and Economic Instruments,Flows to Economy
SDGs,Financial and Economic Instruments,Governance
SDGs,Governance and Legal Frameworks,Governance
SDGs,Governance and Legal Frameworks,Environmental Assets
SDGs,Governance and Legal Frameworks,Environmental Assets
SDGs,Integrated Monitoring Reporting and Data Systems,Environmental Assets
SDGs,Integrated Monitoring Reporting and Data Systems,Environmental Assets
SDGs,Integrated Monitoring Reporting and Data Systems,Flows to Economy
SDGs,Integrated Monitoring Reporting and Data Systems,Ocean Economy
SDGs,Integrated Monitoring Reporting and Data Systems,Flows to Environment
SDGs,Integrated Monitoring Reporting and Data Systems,Governance
SDGs,Integrated Monitoring Reporting and Data Systems,Social
BBNJ,Integrated Spatial Planning and Management,Environmental Assets
BBNJ,Integrated Spatial Planning and Management,Environmental Assets
BBNJ,Integrated Spatial Planning and Management,Flows to Economy
BBNJ,Pollution Reduction and Circular Economy,Flows to Environment
BBNJ,Pollution Reduction and Circular Economy,Governance
BBNJ,Climate-Biodiversity,Environmental Assets
BBNJ,Climate-Biodiversity,Flows to Economy
BBNJ,Financial and Economic Instruments,Environmental Assets
BBNJ,Financial and Economic Instruments,Flows to Economy
BBNJ,Financial and Economic Instruments,Flows to Economy
BBNJ,Financial and Economic Instruments,Social
BBNJ,Governance and Legal Frameworks,Governance
BBNJ,Governance and Legal Frameworks,Social
BBNJ,Integrated Monitoring Reporting and Data Systems,Environmental Assets
BBNJ,Integrated Monitoring Reporting and Data Systems,Environmental Assets
BBNJ,Integrated Monitoring Reporting and Data Systems,Flows to Economy
BBNJ,Integrated Monitoring Reporting and Data Systems,Ocean Economy
BBNJ,Integrated Monitoring Reporting and Data Systems,Flows to Environment
BBNJ,Integrated Monitoring Reporting and Data Systems,Governance
BBNJ,Integrated Monitoring Reporting and Data Systems,Social
Paris Agreement,Integrated Spatial Planning and Management,Environmental Assets
Paris Agreement,Integrated Spatial Planning and Management,Environmental Assets
Paris Agreement,Climate-Biodiversity,Environmental Assets
Paris Agreement,Climate-Biodiversity,Flows to Economy
Paris Agreement,Climate-Biodiversity,Environmental Assets
Paris Agreement,Financial and Economic Instruments,Ocean Economy
Paris Agreement,Financial and Economic Instruments,Governance
Paris Agreement,Financial and Economic Instruments,Environmental Assets
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Environmental Assets
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Environmental Assets
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Flows to Economy
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Ocean Economy
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Flows to Environment
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Governance
Paris Agreement,Integrated Monitoring Reporting and Data Systems,Social
Global Plastics Treaty,Integrated Spatial Planning and Management,Flows to Environment
Global Plastics Treaty,Integrated Spatial Planning and Management,Environmental Assets
Global Plastics Treaty,Pollution Reduction and Circular Economy,Flows to Environment
Global Plastics Treaty,Pollution Reduction and Circular Economy,Ocean Economy
Global Plastics Treaty,Governance and Legal Frameworks,Governance
Global Plastics Treaty,Governance and Legal Frameworks,Social
Global Plastics Treaty,Integrated Monitoring Reporting and Data Systems,Flows to Environment
Global Plastics Treaty,Integrated Monitoring Reporting and Data Systems,Environmental Assets
